Item,Description,Quantity On Hand,Category
GI-RT-120 LED Retrofit,GI-RT-120 5000K LED Retrofit*,0,LED Fixtures
GI-RT-30 LED Retrofit,GI-RT-30 LED Retrofit,0,LED Fixtures
GI-RT-400 LED Retrofit,GI-RT-400 5000K LED Retrofit*,1,LED Fixtures
GI-RT-75-CRM,GI-RT-75-CRM* (75 watt LED Retrofit),-1,LED Fixtures
LED 100 Watt highbay,LED 100 Watt highbay (aluminum hood),2,LED Fixtures
LED 150 Watt Highbay,LED 150 Watt High Bay (Aluminum hood) DLC listed,7,LED Fixtures
LED FL-07 150Watt Flood light 1,LED FL-07  Flood light (150W/100-277V),12,LED Fixtures
LED WP-120W,LED WP-120W (120 watt wall pack),-1,LED Fixtures
LED WP-60W,LED WP-60W (60 Watt LED wall pack - 175-200 watt MH replacement),19,LED Fixtures
SS-FL150W,SS-FL150W (150 watt LED flood light),1,LED Fixtures
SS-FL75W,SS-FL75W(75 watt LED flood light),0,LED Fixtures
LED 200 Watt Highbay,LED 200 Watt High Bay (Aluminum hood) DLC listed,7,LED Fixtures
GI-RT-30 LED Retrofit,GI-RT-150 LED Retrofit,0,LED Fixtures
